id,name,type,typecode,biz_type,address,LONGITUDE,LATITUDE,tel,pname,cityname,adname
B001B06EAF,湖北大学武昌校区,科教文化服务;学校;高等院校,141201,,友谊大道368号,114.334121,30.57687,027-88664102,湖北省,武汉市,武昌区
B001B0J0AA,武汉大学工学部,科教文化服务;学校;高等院校,141201,,校园北路,114.362329,30.543863,027-68775361,湖北省,武汉市,武昌区
B001B0IQYB,武汉音乐学院解放路校区,科教文化服务;学校;高等院校,141201,,解放路255号,114.295059,30.537664,027-88069387;027-88066354,湖北省,武汉市,武昌区
B001B08W98,湖北省武昌实验中学,科教文化服务;学校;中学,141202,,火炬路48号,114.303214,30.552287,027-88852768;027-88712062,湖北省,武汉市,武昌区
B001B16KT7,武汉大学生命科学学院,科教文化服务;学校;高等院校,141201,,珞珈山街道八一路299号,114.360868,30.533153,027-68756695;027-68754125,湖北省,武汉市,武昌区
B001B0IZWE,武汉中学,科教文化服务;学校;中学,141202,,粮道街275号,114.31178,30.547796,027-88912096;027-88912006,湖北省,武汉市,武昌区
B001B0I9T0,中南财经政法大学首义校区,科教文化服务;学校;高等院校,141201,,武珞路114号,114.313162,30.537365,027-88384522,湖北省,武汉市,武昌区
B001B06U1W,武汉大学医学部,科教文化服务;学校;高等院校,141201,,东湖路115号,114.353884,30.554086,027-68758689;027-68759364,湖北省,武汉市,武昌区
B001B0IFVJ,湖北财税职业学院,科教文化服务;学校;高等院校,141201,,白沙洲大道519号,114.298612,30.515271,027-88116071;027-88117970,湖北省,武汉市,武昌区
B001B0IG2Y,武汉大学经济与管理学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山武汉大学,114.373465,30.538799,027-68752883,湖北省,武汉市,武昌区
B001B09EOG,水果湖第一小学,科教文化服务;学校;小学,141203,,水果湖街办事处东三路3号,114.348846,30.543876,027-87814681,湖北省,武汉市,武昌区
B001B06MRR,武昌中华路小学,科教文化服务;学校;小学,141203,,中华路59号,114.299847,30.549712,027-88857576,湖北省,武汉市,武昌区
B001B0I7V4,武汉市第十五中学,科教文化服务;学校;中学,141202,,武珞路343号,114.326887,30.538107,027-87813979,湖北省,武汉市,武昌区
B001B077EP,武汉市东湖中学,科教文化服务;学校;中学,141202,,徐东大街348号,114.367908,30.573514,,湖北省,武汉市,武昌区
B001B0IG36,武汉大学新闻与传播学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山武汉大学,114.367746,30.539772,027-68752685;027-68752684,湖北省,武汉市,武昌区
B001B0IQOI,湖北美术学院(昙华林校区),科教文化服务;学校;高等院校,141201,,中山路374号(中铁十一局对面),114.316139,30.548231,027-81317222,湖北省,武汉市,武昌区
B001B16H8Q,湖北中医药大学(昙华林校区),科教文化服务;学校;高等院校,141201,,昙华林188号,114.313335,30.550377,027-68889041,湖北省,武汉市,武昌区
B001B09JLJ,武汉小学,科教文化服务;学校;小学,141203,,中南路5号,114.330791,30.536442,027-87332506,湖北省,武汉市,武昌区
B001B062F2,武汉航海职业技术学院喻家湖校区,科教文化服务;学校;高等院校,141201,,友谊大道321号,114.327073,30.577345,027-86811585,湖北省,武汉市,武昌区
B001B0IQJE,武汉市第十四中学,科教文化服务;学校;中学,141202,,粮道街办事处粮道街昙华林117号(省中医学院对面),114.313134,30.55195,,湖北省,武汉市,武昌区
B001B0665F,武汉市第二十五中学,科教文化服务;学校;中学,141202,,民主路608号,114.322715,30.54277,,湖北省,武汉市,武昌区
B001B0IFQS,武汉大学外国语言文学学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.370963,30.539418,027-68753312,湖北省,武汉市,武昌区
B001B0IRE0,武汉大学信息管理学院,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.375258,30.536589,027-68754436;027-68752653;027-68752135,湖北省,武汉市,武昌区
B001B08KK1,武汉大学化学与分子科学学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.359846,30.536559,,湖北省,武汉市,武昌区
B001B0IS43,武汉大学第一临床学院,科教文化服务;学校;高等院校,141201,,张之洞路9号,114.294455,30.535751,027-88041919,湖北省,武汉市,武昌区
B001B0IYKS,武汉大学政治与公共管理学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.367968,30.537986,027-68755297,湖北省,武汉市,武昌区
B001B09JQ2,武汉市武珞路中学,科教文化服务;学校;中学,141202,,武珞路387-1-1号,114.328678,30.536761,027-87813048,湖北省,武汉市,武昌区
B001B07GAD,湖北省水果湖高级中学,科教文化服务;学校;中学,141202,,东湖路74号,114.346209,30.549153,027-87231067;027-87123142,湖北省,武汉市,武昌区
B001B0IJTK,武汉理工大学余家头校区余家头校区交通学院,科教文化服务;学校;高等院校,141201,,和平大道1178武汉理工大学余家头校区,114.358944,30.609789,,湖北省,武汉市,武昌区
B001B08L7M,武汉市第九中学,科教文化服务;学校;中学,141202,,紫湖村11号,114.30254,30.529887,,湖北省,武汉市,武昌区
B001B0ATGC,武汉市第三十九中学,科教文化服务;学校;中学,141202,,首义路116号,114.308476,30.535794,027-88060155,湖北省,武汉市,武昌区
B001B0I5ZF,湖北省水果湖第二中学,科教文化服务;学校;中学,141202,,八一路5号,114.340779,30.542906,027-87122141,湖北省,武汉市,武昌区
