Batch,FullProv,Townname,address,Special,MainIndus,SubIndus,FuncType,TownArea,Pop1W,stablepop,GDP1Y,Income1W,province,city,citycode,district,LONGITUDE,LATITUDE,WGS84_Lng,WGS84_Lat,BD_Lng,BD_Lat
第一批,北京市,房山区长沟镇,北京市房山区长沟镇,基金小镇,其他,金融业,商贸流通型,39.05,2.7,0.8217,18,3.6,北京,北京市,010,房山区,115.900836,39.580128,115.8949382,39.57914599,115.9072046,39.58645271
第一批,北京市,昌平区小汤山镇,北京市昌平区小汤山镇,汤泉古镇,农林牧副渔,现代农业,农业服务型,70.1,3.3,1.96,7,3.9,北京,北京市,010,昌平区,116.399758,40.177806,116.3934796,40.176385,116.4062307,40.18391762
第一批,北京市,密云区古北口镇,北京市密云区古北口镇,京北水镇,旅游业,历史文化,历史文化型,85.52,,1,6.2,3.4,北京,北京市,010,密云区,117.16382,40.692169,117.1572442,40.69059935,117.1704418,40.69786844
第一批,天津市,滨海新区中塘镇,天津市滨海新区中塘镇,汽车橡塑小镇,制造业,汽车橡塑产业,产业发展型,97,,7.2,61.92,3.3,天津,天津市,022,滨海新区,117.38538,38.866464,117.3788597,38.86544811,117.3919288,38.87234248
第一批,河北省,秦皇岛市卢龙县石门镇,河北省秦皇岛市卢龙县石门镇,新型工业小镇,制造业,环保产业,产业发展型,90.3,4.47,1.6,2,2.6,河北,秦皇岛市,0335,卢龙县,118.851149,39.730368,118.8452568,39.72924332,118.8577412,39.73604497
第一批,河北省,保定市高阳县庞口镇,河北省保定市高阳县庞口镇,农机商贸小镇,制造业,农机配件加工生产,产业发展型,110,7.2,0.81,23,1.05,河北,保定市,0312,高阳县,115.949606,38.646272,115.9437785,38.64570407,115.9560085,38.65262117
第一批,河北省,衡水市武强县周窝镇,河北省衡水市武强县周窝镇,音乐小镇,制造业,乐器制造,产业发展型,51.3,3.1,0.9,3.5,1.13,河北,衡水市,0318,武强县,115.891818,37.997813,115.8860978,37.99729378,115.8982104,38.00414075
第一批,山西省,晋城市阳城县润城镇,山西省晋城市阳城县润城镇,古堡重镇,旅游业,历史文化,历史文化型,72,3.3,1.6,3.2,2.5,山西,晋城市,0356,阳城县,112.527819,35.493407,112.521723,35.49376957,112.5343092,35.49937152
第一批,山西省,晋中市昔阳县大寨镇,山西省晋中市昔阳县大寨镇,红色小镇,旅游业,历史文化,旅游发展型,186,3.3,0.32,12,3.1,山西,晋中市,0354,昔阳县,113.719424,37.571261,113.7129255,37.57058322,113.7258338,37.57747187
第一批,山西省,吕梁市汾阳市杏花村镇,山西省吕梁市汾阳市杏花村镇,酒都小镇,食品加工,酿酒业,产业发展型,86,4.8,3.9,151,2.6,山西,吕梁市,0358,汾阳市,111.90985,37.334705,111.903611,37.33429761,111.916226,37.34102186
第一批,内蒙古自治区,赤峰市宁城县八里罕镇,内蒙古自治区赤峰市宁城县八里罕镇,塞外酒乡,食品加工,酿酒业,产业发展型,374,1.2,0.8,11.6,1.85,内蒙古,赤峰市,0476,宁城县,118.750421,41.516739,118.7441268,41.51464533,118.7569903,41.52248017
第一批,内蒙古自治区,通辽市科尔沁左翼中旗舍伯吐镇,内蒙古自治区通辽市科尔沁左翼中旗舍伯吐镇,黄牛小镇,农林牧副渔,黄牛,农业服务型,654,5.2,2,33,2.45,内蒙古,通辽市,0475,科尔沁左翼中旗,121.99002,44.031139,121.9843732,44.02901634,121.9963898,44.03750545
第一批,辽宁省,大连市瓦房店市谢屯镇,辽宁省大连市瓦房店市谢屯镇,休闲养老小镇,旅游业,休闲景观,旅游发展型,192.5,,3.6,67.5,2.7,辽宁,大连市,0411,瓦房店市,121.540749,39.452633,121.5356472,39.45149421,121.5472151,39.45867344
第一批,辽宁省,丹东市东港市孤山镇,辽宁省丹东市东港市孤山镇,文化旅游小镇,旅游业,休闲景观,旅游发展型,214,,3.3,42.3,2,辽宁,丹东市,0415,东港市,123.574103,39.88217,123.5686255,39.88096183,123.5805685,39.8882533
第一批,辽宁省,辽阳市弓长岭区汤河镇,辽宁省辽阳市弓长岭区汤河镇,温泉旅游小镇,旅游业,休闲景观,旅游发展型,152.7,,1,11.53,2.6,辽宁,辽阳市,0419,弓长岭区,123.376518,41.126872,123.3704946,41.12473996,123.3830573,41.13272954
